PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Delivery_Status,Negotiation_Savings,Total_Cost,Defect_Rate,Delivery_Time,Compliance_Status
PO-00025,Beta_Supplies,2023-12-20,2024-01-01,MRO,Delivered,1565,21.3,20.09,161.0,Yes,Delivered,1.2100000000000009,31440.85,0.10287539936102237,12.0,Compliant
PO-00026,Epsilon_Group,2023-07-13,2023-07-24,Packaging,Delivered,1487,19.15,17.24,0.0,Yes,Delivered,1.9100000000000001,25635.879999999997,0.0,11.0,Compliant
PO-00027,Alpha_Inc,2023-03-06,2023-03-26,MRO,Delivered,855,78.2,67.16,17.0,Yes,Delivered,11.040000000000006,57421.799999999996,0.019883040935672516,20.0,Compliant
PO-00028,Epsilon_Group,2022-08-14,2022-08-23,Raw Materials,Delivered,435,17.13,15.84,8.0,Yes,Delivered,1.2899999999999991,6890.4,0.01839080459770115,9.0,Compliant
PO-00029,Delta_Logistics,2023-04-05,2023-04-22,MRO,Delivered,1265,90.26,79.47,187.0,Yes,Delivered,10.790000000000006,100529.55,0.14782608695652175,17.0,Compliant
PO-00030,Epsilon_Group,2023-08-27,,MRO,Delivered,1005,80.55,73.31,30.0,Yes,Not Delivered,7.239999999999995,73676.55,0.029850746268656716,,Compliant
PO-00031,Gamma_Co,2022-10-12,2022-10-26,Electronics,Delivered,326,18.1,15.92,0.0,No,Delivered,2.1800000000000015,5189.92,0.0,14.0,Non-Compliant
PO-00032,Alpha_Inc,2022-01-07,2022-01-15,Office Supplies,Delivered,1234,17.64,15.66,26.0,Yes,Delivered,1.9800000000000004,19324.44,0.02106969205834684,8.0,Compliant
PO-00033,Epsilon_Group,2022-06-13,2022-06-29,MRO,Delivered,509,101.27,97.82,19.0,Yes,Delivered,3.450000000000003,49790.38,0.03732809430255403,16.0,Compliant
PO-00034,Alpha_Inc,2023-12-16,2023-12-17,Packaging,Delivered,1387,48.71,43.71,27.0,Yes,Delivered,5.0,60625.770000000004,0.01946647440519106,1.0,Compliant
PO-00035,Alpha_Inc,2023-03-09,2023-03-17,MRO,Delivered,71,46.39,43.18,0.0,Yes,Delivered,3.210000000000001,3065.78,0.0,8.0,Compliant
PO-00036,Epsilon_Group,2022-12-15,2022-12-23,Office Supplies,Delivered,302,87.73,81.52,9.0,Yes,Delivered,6.210000000000008,24619.039999999997,0.029801324503311258,8.0,Compliant
PO-00037,Epsilon_Group,2022-10-12,2022-10-31,Office Supplies,Pending,797,99.54,91.37,18.0,Yes,Delivered,8.170000000000002,72821.89,0.02258469259723965,19.0,Compliant
PO-00038,Beta_Supplies,2022-06-09,2022-06-27,Office Supplies,Pending,906,101.21,90.9,94.0,Yes,Delivered,10.309999999999988,82355.40000000001,0.10375275938189846,18.0,Compliant
PO-00039,Epsilon_Group,2022-08-09,2022-08-23,Office Supplies,Delivered,1634,80.53,76.15,50.0,Yes,Delivered,4.3799999999999955,124429.1,0.030599755201958383,14.0,Compliant
PO-00040,Epsilon_Group,2022-12-11,,Office Supplies,Delivered,524,46.28,39.65,14.0,Yes,Not Delivered,6.630000000000003,20776.6,0.026717557251908396,,Compliant
PO-00041,Beta_Supplies,2022-04-15,2022-04-27,Electronics,Delivered,1132,17.78,15.36,96.0,Yes,Delivered,2.4200000000000017,17387.52,0.08480565371024736,12.0,Compliant
PO-00042,Beta_Supplies,2022-04-05,2022-04-14,Office Supplies,Delivered,560,81.14,77.87,34.0,No,Delivered,3.269999999999996,43607.200000000004,0.060714285714285714,9.0,Non-Compliant
PO-00043,Gamma_Co,2023-01-25,2023-02-02,Electronics,Delivered,1755,63.87,58.4,85.0,Yes,Delivered,5.469999999999999,102492.0,0.04843304843304843,8.0,Compliant
PO-00044,Epsilon_Group,2022-04-10,2022-04-17,MRO,Delivered,1549,48.9,42.42,48.0,Yes,Delivered,6.479999999999997,65708.58,0.030987734021949646,7.0,Compliant
PO-00045,Delta_Logistics,2023-01-03,2023-01-21,MRO,Delivered,749,97.07,94.16,123.0,Yes,Delivered,2.9099999999999966,70525.84,0.16421895861148197,18.0,Compliant
PO-00046,Alpha_Inc,2022-12-19,,Electronics,Delivered,1025,21.11,19.25,15.0,Yes,Not Delivered,1.8599999999999994,19731.25,0.014634146341463415,,Compliant
PO-00047,Beta_Supplies,2023-09-11,2023-09-18,Raw Materials,Delivered,1856,59.77,50.81,191.0,Yes,Delivered,8.96,94303.36,0.10290948275862069,7.0,Compliant
PO-00048,Epsilon_Group,2022-09-28,2022-10-14,Office Supplies,Delivered,239,11.46,11.28,4.0,Yes,Delivered,0.1800000000000015,2695.92,0.016736401673640166,16.0,Compliant
PO-00049,Delta_Logistics,2022-02-14,2022-03-05,Office Supplies,Pending,1007,52.44,46.06,167.0,Yes,Delivered,6.3799999999999955,46382.420000000006,0.16583912611717974,19.0,Compliant
PO-00050,Alpha_Inc,2023-04-16,,MRO,Pending,736,16.2,15.33,18.0,Yes,Not Delivered,0.8699999999999992,11282.88,0.024456521739130436,,Compliant
PO-00051,Epsilon_Group,2023-07-04,2023-07-14,Electronics,Delivered,1007,22.56,19.59,0.0,Yes,Delivered,2.969999999999999,19727.13,0.0,10.0,Compliant
PO-00052,Delta_Logistics,2022-05-08,,Office Supplies,Delivered,612,20.99,19.75,102.0,Yes,Not Delivered,1.2399999999999984,12087.0,0.16666666666666666,,Compliant
PO-00053,Alpha_Inc,2023-01-23,2023-02-02,MRO,Pending,1949,72.53,63.26,48.0,No,Delivered,9.270000000000003,123293.73999999999,0.024628014366341714,10.0,Non-Compliant
PO-00054,Delta_Logistics,2022-03-22,2022-03-28,Office Supplies,Cancelled,1640,77.92,76.41,262.0,No,Delivered,1.5100000000000051,125312.4,0.1597560975609756,6.0,Non-Compliant
PO-00055,Beta_Supplies,2023-07-20,2023-08-07,Electronics,Delivered,1317,68.13,60.52,136.0,Yes,Delivered,7.609999999999992,79704.84000000001,0.10326499620349279,18.0,Compliant
PO-00056,Epsilon_Group,2022-10-28,2022-10-30,Raw Materials,Delivered,881,100.94,95.05,30.0,Yes,Delivered,5.890000000000001,83739.05,0.0340522133938706,2.0,Compliant
PO-00057,Delta_Logistics,2023-10-06,,Packaging,Delivered,1578,48.33,42.77,206.0,Yes,Not Delivered,5.559999999999995,67491.06,0.13054499366286437,,Compliant
PO-00058,Delta_Logistics,2023-09-26,2023-10-01,MRO,Delivered,1204,39.29,35.44,0.0,Yes,Delivered,3.8500000000000014,42669.759999999995,0.0,5.0,Compliant
PO-00059,Epsilon_Group,2023-01-06,2023-01-22,MRO,Pending,1558,93.46,91.27,39.0,Yes,Delivered,2.1899999999999977,142198.66,0.02503209242618742,16.0,Compliant
PO-00060,Alpha_Inc,2023-08-15,2023-08-16,Packaging,Delivered,1892,32.99,28.81,35.0,Yes,Delivered,4.180000000000003,54508.52,0.01849894291754757,1.0,Compliant
PO-00061,Epsilon_Group,2022-07-16,2022-08-01,Packaging,Delivered,696,99.59,90.18,25.0,Yes,Delivered,9.409999999999997,62765.280000000006,0.035919540229885055,16.0,Compliant
PO-00062,Delta_Logistics,2023-12-23,2024-01-03,MRO,Partially Delivered,70,12.37,11.04,10.0,Yes,Delivered,1.33,772.8,0.14285714285714285,11.0,Compliant
PO-00063,Gamma_Co,2022-03-13,2022-03-15,Raw Materials,Delivered,890,98.26,93.14,49.0,Yes,Delivered,5.1200000000000045,82894.6,0.0550561797752809,2.0,Compliant
PO-00064,Alpha_Inc,2022-02-16,2022-03-04,MRO,Delivered,216,13.95,12.31,5.0,Yes,Delivered,1.6399999999999988,2658.96,0.023148148148148147,16.0,Compliant
PO-00065,Delta_Logistics,2023-11-09,2023-11-12,Packaging,Delivered,1347,100.13,94.3,200.0,Yes,Delivered,5.829999999999998,127022.09999999999,0.14847809948032664,3.0,Compliant
PO-00066,Gamma_Co,2022-08-22,2022-08-25,Office Supplies,Partially Delivered,437,59.51,56.45,25.0,No,Delivered,3.059999999999995,24668.65,0.057208237986270026,3.0,Non-Compliant
PO-00067,Alpha_Inc,2022-10-24,2022-10-26,Electronics,Delivered,650,103.84,88.28,12.0,Yes,Delivered,15.560000000000002,57382.0,0.018461538461538463,2.0,Compliant
PO-00068,Beta_Supplies,2022-03-23,2022-04-11,Office Supplies,Delivered,365,16.81,15.41,38.0,Yes,Delivered,1.3999999999999986,5624.65,0.10410958904109589,19.0,Compliant
PO-00069,Epsilon_Group,2022-08-27,,Raw Materials,Cancelled,63,61.94,53.8,0.0,Yes,Not Delivered,8.14,3389.3999999999996,0.0,,Compliant
PO-00070,Alpha_Inc,2022-04-14,2022-04-22,MRO,Delivered,291,98.7,87.02,9.0,Yes,Delivered,11.680000000000007,25322.82,0.030927835051546393,8.0,Compliant
PO-00071,Alpha_Inc,2023-01-25,2023-02-08,MRO,Cancelled,826,60.5,57.18,18.0,Yes,Delivered,3.3200000000000003,47230.68,0.021791767554479417,14.0,Compliant
PO-00072,Delta_Logistics,2022-10-12,2022-11-01,Electronics,Pending,1419,69.64,59.28,194.0,Yes,Delivered,10.36,84118.32,0.13671599718111346,20.0,Compliant
PO-00073,Gamma_Co,2023-04-10,2023-04-27,Office Supplies,Delivered,614,78.06,73.95,40.0,Yes,Delivered,4.109999999999999,45405.3,0.06514657980456026,17.0,Compliant
PO-00074,Alpha_Inc,2023-10-13,2023-10-28,Electronics,Delivered,947,56.25,54.25,19.0,Yes,Delivered,2.0,51374.75,0.02006335797254488,15.0,Compliant
PO-00075,Epsilon_Group,2023-01-09,2023-01-28,Raw Materials,Delivered,1413,70.47,69.65,0.0,Yes,Delivered,0.8199999999999932,98415.45000000001,0.0,19.0,Compliant
PO-00076,Alpha_Inc,2022-06-16,,Office Supplies,Partially Delivered,141,64.15,58.32,0.0,Yes,Not Delivered,5.830000000000005,8223.12,0.0,,Compliant
PO-00077,Alpha_Inc,2023-01-15,2023-02-04,Office Supplies,Delivered,1440,96.57,83.87,36.0,Yes,Delivered,12.699999999999989,120772.8,0.025,20.0,Compliant
PO-00078,Delta_Logistics,2022-12-30,2023-01-03,Raw Materials,Delivered,1005,14.87,12.79,0.0,No,Delivered,2.08,12853.949999999999,0.0,4.0,Non-Compliant
PO-00079,Alpha_Inc,2022-08-03,,MRO,Delivered,1528,36.52,33.0,31.0,No,Not Delivered,3.520000000000003,50424.0,0.020287958115183247,,Non-Compliant
PO-00080,Gamma_Co,2023-11-18,2023-11-25,MRO,Delivered,1501,106.05,100.99,77.0,No,Delivered,5.060000000000002,151585.99,0.051299133910726186,7.0,Non-Compliant
PO-00081,Delta_Logistics,2022-10-01,2022-10-04,Packaging,Delivered,558,94.18,81.4,0.0,No,Delivered,12.780000000000001,45421.200000000004,0.0,3.0,Non-Compliant
PO-00082,Beta_Supplies,2023-12-20,2023-12-26,MRO,Delivered,825,56.88,50.84,0.0,Yes,Delivered,6.039999999999999,41943.0,0.0,6.0,Compliant
PO-00083,Beta_Supplies,2023-12-01,2023-12-07,Electronics,Cancelled,84,73.38,71.42,9.0,Yes,Delivered,1.9599999999999937,5999.28,0.10714285714285714,6.0,Compliant
PO-00084,Delta_Logistics,2023-10-26,2023-11-10,Raw Materials,Delivered,255,38.64,33.59,27.0,No,Delivered,5.049999999999997,8565.45,0.10588235294117647,15.0,Non-Compliant
PO-00085,Gamma_Co,2022-03-15,2022-03-31,MRO,Delivered,1154,27.2,26.07,58.0,Yes,Delivered,1.129999999999999,30084.78,0.05025996533795494,16.0,Compliant
PO-00086,Delta_Logistics,2023-09-16,2023-09-24,Office Supplies,Delivered,1635,56.91,54.37,262.0,No,Delivered,2.539999999999999,88894.95,0.1602446483180428,8.0,Non-Compliant
PO-00087,Delta_Logistics,2023-10-13,2023-10-23,Raw Materials,Delivered,1945,46.19,40.12,278.0,No,Delivered,6.07,78033.4,0.1429305912596401,10.0,Non-Compliant
PO-00088,Delta_Logistics,2022-06-25,2022-07-10,MRO,Partially Delivered,1461,64.09,63.39,228.0,No,Delivered,0.7000000000000028,92612.79,0.15605749486652978,15.0,Non-Compliant
PO-00089,Delta_Logistics,2023-07-01,2023-07-09,Electronics,Delivered,1075,18.53,16.12,147.0,Yes,Delivered,2.41,17329.0,0.13674418604651162,8.0,Compliant
PO-00090,Alpha_Inc,2022-09-08,,Packaging,Delivered,1071,101.6,93.91,25.0,Yes,Not Delivered,7.689999999999998,100577.61,0.02334267040149393,,Compliant
PO-00091,Epsilon_Group,2022-06-17,2022-07-06,Packaging,Pending,1463,101.23,86.17,43.0,Yes,Delivered,15.060000000000002,126066.71,0.02939166097060834,19.0,Compliant
PO-00092,Beta_Supplies,2023-04-19,2023-04-26,Raw Materials,Delivered,615,78.3,73.68,69.0,Yes,Delivered,4.61999999999999,45313.200000000004,0.11219512195121951,7.0,Compliant
PO-00093,Gamma_Co,2023-01-24,2023-02-11,Electronics,Delivered,1179,61.74,56.28,0.0,Yes,Delivered,5.460000000000001,66354.12,0.0,18.0,Compliant
PO-00094,Alpha_Inc,2022-10-04,2022-10-09,Electronics,Partially Delivered,1845,39.56,37.63,45.0,Yes,Delivered,1.9299999999999997,69427.35,0.024390243902439025,5.0,Compliant
PO-00095,Beta_Supplies,2023-10-18,,Electronics,Cancelled,1895,91.98,86.27,170.0,Yes,Not Delivered,5.710000000000008,163481.65,0.08970976253298153,,Compliant
PO-00096,Epsilon_Group,2023-12-06,2023-12-09,MRO,Partially Delivered,1550,79.86,69.57,32.0,No,Delivered,10.290000000000006,107833.49999999999,0.02064516129032258,3.0,Non-Compliant
PO-00097,Delta_Logistics,2023-07-25,2023-08-04,Packaging,Delivered,752,26.85,24.37,0.0,No,Delivered,2.4800000000000004,18326.24,0.0,10.0,Non-Compliant
PO-00098,Epsilon_Group,2022-08-13,2022-09-01,Electronics,Delivered,451,95.2,90.07,21.0,Yes,Delivered,5.13000000000001,40621.57,0.04656319290465632,19.0,Compliant
PO-00099,Beta_Supplies,2023-12-03,,Office Supplies,Delivered,779,93.69,90.92,66.0,Yes,Not Delivered,2.769999999999996,70826.68000000001,0.08472400513478819,,Compliant
PO-00100,Beta_Supplies,2022-11-29,2022-12-14,MRO,Pending,1629,100.26,86.44,187.0,No,Delivered,13.820000000000007,140810.76,0.11479435236341314,15.0,Non-Compliant
PO-00101,Alpha_Inc,2022-02-27,2022-02-22,Office Supplies,Delivered,211,75.69,65.4,2.0,Yes,Delivered,10.289999999999992,13799.400000000001,0.009478672985781991,-5.0,Compliant
PO-00102,Alpha_Inc,2022-08-23,,Office Supplies,Delivered,251,67.49,64.48,2.0,Yes,Not Delivered,3.009999999999991,16184.480000000001,0.00796812749003984,,Compliant
PO-00103,Gamma_Co,2022-02-02,2022-02-18,Raw Materials,Delivered,1045,47.88,44.65,69.0,Yes,Delivered,3.230000000000004,46659.25,0.0660287081339713,16.0,Compliant
PO-00104,Delta_Logistics,2022-11-20,2022-12-10,MRO,Delivered,319,98.64,89.15,57.0,Yes,Delivered,9.489999999999995,28438.850000000002,0.1786833855799373,20.0,Compliant
PO-00105,Epsilon_Group,2023-02-15,2023-03-01,Office Supplies,Partially Delivered,1936,93.66,92.24,58.0,Yes,Delivered,1.4200000000000017,178576.63999999998,0.029958677685950414,14.0,Compliant
PO-00106,Delta_Logistics,2022-10-02,2022-10-22,MRO,Cancelled,865,14.7,13.14,135.0,No,Delivered,1.5599999999999987,11366.1,0.15606936416184972,20.0,Non-Compliant
PO-00107,Epsilon_Group,2022-03-09,2022-03-12,Electronics,Delivered,1344,12.5,10.87,44.0,Yes,Delivered,1.6300000000000008,14609.279999999999,0.03273809523809524,3.0,Compliant
PO-00108,Delta_Logistics,2022-08-05,2022-08-24,Raw Materials,Pending,505,45.42,40.37,62.0,Yes,Delivered,5.050000000000004,20386.85,0.12277227722772277,19.0,Compliant
PO-00109,Beta_Supplies,2023-08-04,2023-08-05,Packaging,Delivered,1535,90.83,78.28,151.0,No,Delivered,12.549999999999997,120159.8,0.098371335504886,1.0,Non-Compliant
PO-00110,Beta_Supplies,2022-11-19,,Office Supplies,Delivered,1800,103.8,96.27,166.0,Yes,Not Delivered,7.530000000000001,173286.0,0.09222222222222222,,Compliant
PO-00111,Delta_Logistics,2022-08-06,2022-08-15,Raw Materials,Pending,1325,24.36,22.75,206.0,Yes,Delivered,1.6099999999999994,30143.75,0.15547169811320755,9.0,Compliant
PO-00112,Gamma_Co,2023-11-03,2023-11-09,Raw Materials,Delivered,1066,70.45,65.88,56.0,No,Delivered,4.570000000000007,70228.08,0.0525328330206379,6.0,Non-Compliant
PO-00113,Beta_Supplies,2023-05-27,2023-06-11,Raw Materials,Delivered,1775,47.82,45.86,180.0,Yes,Delivered,1.9600000000000009,81401.5,0.10140845070422536,15.0,Compliant
PO-00114,Gamma_Co,2023-02-10,,Raw Materials,Partially Delivered,345,103.62,98.09,25.0,No,Not Delivered,5.530000000000001,33841.05,0.07246376811594203,,Non-Compliant
PO-00115,Beta_Supplies,2023-10-21,2023-11-09,Electronics,Delivered,1798,94.8,91.83,0.0,Yes,Delivered,2.969999999999999,165110.34,0.0,19.0,Compliant
PO-00116,Alpha_Inc,2023-04-15,2023-05-01,MRO,Delivered,769,91.86,86.55,17.0,Yes,Delivered,5.310000000000002,66556.95,0.022106631989596878,16.0,Compliant
PO-00117,Alpha_Inc,2022-05-27,,Packaging,Delivered,1822,53.23,47.49,39.0,Yes,Not Delivered,5.739999999999995,86526.78,0.021405049396267837,,Compliant
PO-00118,Delta_Logistics,2022-09-29,2022-10-13,Packaging,Delivered,387,49.23,45.41,61.0,Yes,Delivered,3.8200000000000003,17573.67,0.15762273901808785,14.0,Compliant
PO-00119,Epsilon_Group,2022-05-23,2022-05-27,MRO,Delivered,928,35.3,32.52,26.0,Yes,Delivered,2.779999999999994,30178.56,0.028017241379310345,4.0,Compliant
PO-00120,Alpha_Inc,2022-09-10,2022-09-21,Packaging,Partially Delivered,1126,15.68,14.97,27.0,Yes,Delivered,0.7099999999999991,16856.22,0.023978685612788632,11.0,Compliant
PO-00121,Beta_Supplies,2023-07-29,2023-08-14,Raw Materials,Cancelled,841,95.73,85.33,81.0,Yes,Delivered,10.400000000000006,71762.53,0.09631391200951249,16.0,Compliant
PO-00122,Beta_Supplies,2023-07-06,2023-07-19,Electronics,Delivered,1995,90.65,77.75,206.0,Yes,Delivered,12.900000000000006,155111.25,0.10325814536340852,13.0,Compliant
PO-00123,Alpha_Inc,2022-09-27,2022-10-15,Raw Materials,Delivered,266,103.97,101.44,6.0,Yes,Delivered,2.530000000000001,26983.04,0.022556390977443608,18.0,Compliant
PO-00124,Alpha_Inc,2023-08-22,2023-08-25,Raw Materials,Cancelled,813,109.17,107.39,14.0,Yes,Delivered,1.7800000000000011,87308.07,0.017220172201722016,3.0,Compliant
PO-00125,Epsilon_Group,2023-03-15,2023-03-26,Electronics,Delivered,237,64.19,59.01,7.0,Yes,Delivered,5.18,13985.369999999999,0.029535864978902954,11.0,Compliant
PO-00126,Alpha_Inc,2023-08-21,2023-09-03,Office Supplies,Cancelled,429,86.73,75.09,9.0,Yes,Delivered,11.64,32213.61,0.02097902097902098,13.0,Compliant
PO-00127,Delta_Logistics,2023-02-13,2023-02-14,Packaging,Delivered,542,101.21,93.11,78.0,No,Delivered,8.099999999999994,50465.62,0.14391143911439114,1.0,Non-Compliant
PO-00128,Epsilon_Group,2023-01-06,2023-01-24,Electronics,Delivered,1114,91.66,85.53,35.0,Yes,Delivered,6.1299999999999955,95280.42,0.03141831238779174,18.0,Compliant
PO-00129,Alpha_Inc,2022-08-13,2022-08-15,MRO,Delivered,1230,33.39,30.85,26.0,Yes,Delivered,2.539999999999999,37945.5,0.02113821138211382,2.0,Compliant
PO-00130,Beta_Supplies,2022-05-22,2022-06-03,MRO,Delivered,64,51.56,50.88,5.0,Yes,Delivered,0.6799999999999997,3256.32,0.078125,12.0,Compliant
PO-00131,Alpha_Inc,2023-06-06,2023-06-22,MRO,Delivered,1886,23.46,23.18,0.0,Yes,Delivered,0.28000000000000114,43717.479999999996,0.0,16.0,Compliant
PO-00132,Delta_Logistics,2023-05-21,2023-05-23,Office Supplies,Delivered,114,103.53,101.54,14.0,Yes,Delivered,1.9899999999999949,11575.560000000001,0.12280701754385964,2.0,Compliant
PO-00133,Delta_Logistics,2022-04-04,2022-04-22,Electronics,Cancelled,1930,65.52,56.9,282.0,Yes,Delivered,8.619999999999997,109817.0,0.1461139896373057,18.0,Compliant
PO-00134,Beta_Supplies,2022-02-18,2022-02-28,Office Supplies,Pending,1912,30.73,29.82,191.0,Yes,Delivered,0.9100000000000001,57015.840000000004,0.09989539748953975,10.0,Compliant
PO-00135,Epsilon_Group,2022-04-23,2022-05-09,MRO,Delivered,570,71.51,66.47,0.0,Yes,Delivered,5.040000000000006,37887.9,0.0,16.0,Compliant
PO-00136,Beta_Supplies,2022-06-06,2022-06-26,Raw Materials,Delivered,1417,67.27,60.62,0.0,Yes,Delivered,6.649999999999999,85898.54,0.0,20.0,Compliant
PO-00137,Alpha_Inc,2023-10-05,2023-10-11,Raw Materials,Delivered,1202,46.67,44.13,21.0,No,Delivered,2.539999999999999,53044.26,0.01747088186356073,6.0,Non-Compliant
PO-00138,Beta_Supplies,2022-06-13,2022-06-14,Office Supplies,Delivered,697,20.73,19.83,78.0,No,Delivered,0.9000000000000021,13821.509999999998,0.11190817790530846,1.0,Non-Compliant
PO-00139,Epsilon_Group,2023-11-28,2023-12-01,MRO,Delivered,1545,78.19,76.91,42.0,Yes,Delivered,1.2800000000000011,118825.95,0.027184466019417475,3.0,Compliant
PO-00140,Gamma_Co,2023-03-09,2023-03-13,MRO,Partially Delivered,1136,60.81,58.25,62.0,Yes,Delivered,2.5600000000000023,66172.0,0.05457746478873239,4.0,Compliant
PO-00141,Beta_Supplies,2023-09-03,2023-09-07,MRO,Delivered,1212,87.46,74.55,118.0,No,Delivered,12.909999999999997,90354.59999999999,0.09735973597359736,4.0,Non-Compliant
PO-00142,Epsilon_Group,2022-03-07,2022-03-12,MRO,Delivered,1572,57.38,49.32,40.0,Yes,Delivered,8.060000000000002,77531.04,0.02544529262086514,5.0,Compliant
PO-00143,Gamma_Co,2023-01-30,2023-02-09,Electronics,Delivered,642,91.9,81.49,26.0,Yes,Delivered,10.41000000000001,52316.579999999994,0.040498442367601244,10.0,Compliant
PO-00144,Epsilon_Group,2023-01-26,2023-02-04,Office Supplies,Delivered,441,63.25,54.12,16.0,Yes,Delivered,9.130000000000003,23866.92,0.036281179138321996,9.0,Compliant
PO-00145,Epsilon_Group,2023-09-03,2023-09-19,Office Supplies,Delivered,1748,66.53,57.11,0.0,Yes,Delivered,9.420000000000002,99828.28,0.0,16.0,Compliant
PO-00146,Gamma_Co,2023-04-25,,Electronics,Pending,468,95.57,91.8,24.0,Yes,Not Delivered,3.769999999999996,42962.4,0.05128205128205128,,Compliant
PO-00147,Beta_Supplies,2023-06-26,2023-07-14,Raw Materials,Delivered,338,50.25,46.28,49.0,No,Delivered,3.969999999999999,15642.640000000001,0.14497041420118342,18.0,Non-Compliant
